# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
 53.200164, 48.076096,  0.601657, -0.419064,-27.982188,  0.004374
 54.190297, 49.059121,  0.591787, -0.475660,-28.462414,  0.008043
 55.185411, 50.048579,  0.580611, -0.528815,-28.944249,  0.012168
 56.185424, 51.041831,  0.568181, -0.578252,-29.427657,  0.016730
 57.190256, 52.035124,  0.554550, -0.623718,-29.912600,  0.021710
 58.199830, 53.024561,  0.539774, -0.664990,-30.399045,  0.027085
 59.214067, 54.006291,  0.523914, -0.701868,-30.886957,  0.032829
 60.232893, 54.976518,  0.507030, -0.734184,-31.376302,  0.038917
 61.256232, 55.931519,  0.489189, -0.761797,-31.867048,  0.045321
 62.284011, 56.867657,  0.470455, -0.784594,-32.359163,  0.052011
 63.316158, 57.781573,  0.450897, -0.802495,-32.852615,  0.058959
 64.352602, 58.671081,  0.430584, -0.815448,-33.347374,  0.066134
 65.393272, 59.535673,  0.409587, -0.823430,-33.843409,  0.073505
 66.438101, 60.375582,  0.387978, -0.826450,-34.340693,  0.081040
 67.487020, 61.191039,  0.365830, -0.824544,-34.839196,  0.088710
 68.539963, 61.982277,  0.343217, -0.817778,-35.338890,  0.096484
 69.596864, 62.749524,  0.320211, -0.806247,-35.839748,  0.104332
 70.657659, 63.493007,  0.296889, -0.790070,-36.341744,  0.112226
 71.722285, 64.212949,  0.273322, -0.769396,-36.844852,  0.120138
 72.790679, 64.909574,  0.249586, -0.744395,-37.349046,  0.128041
 73.862780, 65.583101,  0.225753, -0.715265,-37.854301,  0.135911
 74.938528, 66.233749,  0.201896, -0.682223,-38.360594,  0.143725
 76.017864, 66.861733,  0.178087, -0.645509,-38.867900,  0.151462
 77.100728, 67.467268,  0.154395, -0.605379,-39.376196,  0.159101
 78.187064, 68.050566,  0.130891, -0.562110,-39.885460,  0.166628
 79.276815, 68.611836,  0.107642, -0.515992,-40.395669,  0.174025
 80.369925, 69.151288,  0.084713, -0.467330,-40.906803,  0.181281
 81.466341, 69.669126,  0.062170, -0.416439,-41.418839,  0.188385
 82.566007, 70.165555,  0.040073, -0.363647,-41.931758,  0.195331
 83.668872, 70.640777,  0.018484, -0.309286,-42.445538,  0.202111
 84.774883, 71.094992, -0.002542, -0.253695,-42.960161,  0.208723
