x,y
5.0431,0.38284144744127246
38.0007550405965,0.002769513387146816
38.2438,0.0026529928286258553
38.8378,0.0023827344914870707
43.2235,0.0007568696088142701
45.6886,6.146736933132502e-05
45.9658,-7.489170538832468e-06
45.9361,3.411675315589946e-07
45.9361,3.411675315589946e-07
45.9262,2.957021770555457e-06
45.9361,3.411675351117083e-07
45.946,-2.2718141501343325e-06
45.9361,3.411675351117083e-07
45.9361,3.411675315589946e-07
45.9361,3.411675315589946e-07
45.9361,3.411675315589946e-07
45.946,-2.2718141501343325e-06
45.9361,3.411675280062809e-07
45.9361,3.411675280062809e-07
45.9262,2.9570217670027432e-06
