x,y
10.852894160334,0.38284144744127246
42.47892677504781,0.4297633165546735
5.0,0.3095625795599375
69.638,0.43603671863364113
5.0,0.30956257955917366
44.9095,0.4306338270530645
70.645,0.43617659486465854
9.009,0.3699549886345075
47.389,0.43142986786617143
36.179,0.4269626646421969
15.3265,0.401236975523112
70.17,0.4361111155989654
72.9155,0.43647780183879803
6.9665,0.3477723240100268
49.5455,0.4320574392755745
33.595,0.4255085702536867
17.35,0.4064435692592525
72.336,0.4364027216791406
74.502,0.43667737381643335
6.0545,0.33309235431579154
