x,y
5.0431,0.38284144744127246
69.9453450301421,-0.0028799938221553134
69.456,-0.0028579687491117056
64.3417,-0.0025619311871487582
56.7797,-0.0018902197049577296
83.9034,-0.003307857421813054
48.2227,-0.000530161805276208
46.2924,-9.000589210828025e-05
45.9342,2.748779873940066e-06
45.9541,-2.5017709681662836e-06
45.9541,-2.5017709681662836e-06
46.0138,-1.8183988647280103e-05
45.9342,2.7487798668346386e-06
45.9541,-2.501770975271711e-06
45.9342,2.7487798668346386e-06
45.9541,-2.5017709788244247e-06
45.9342,2.748779863281925e-06
45.9541,-2.5017709788244247e-06
45.9342,2.748779863281925e-06
45.9541,-2.5017709788244247e-06
