x,y
0.10694728820868,0.38284144744127246
0.11958108124182806,0.37713061725229835
0.9550980899999999,0.2770585764868585
0.6900986199999999,0.2708193421944287
2.0300959400000003,0.3253793692278144
0.72509855,0.26945959072841674
2.1800956400000002,0.33078216508371483
0.78009844,0.2689146603055619
2.34509531,0.3355202057090665
0.7700984599999999,0.2691795587902419
2.05509589,0.323754769187623
2.29509541,0.3233110681883993
2.46509507,0.3311529328125111
2.52009496,0.33452918535216014
0.06009988,0.40711937575943935
0.0001,-1.155322134568348e+28
0.78009844,2.703458642350501e+24
0.7700984599999999,-7.347674941110012e+21
0.72509855,-3713210475542712.5
0.6900986199999999,509271798688.2856
0.9550980899999999,509400128400.1481
2.29509541,509087654286.479
2.05509589,508999741589.5143
2.0300959400000003,509025534286.4162
2.1800956400000002,509011286273.75336
2.46509507,508968610569.38763
2.52009496,508939885374.60565
2.34509531,508950752038.20764
0.06009988,517213356772.44446
2.52009496,509069292294.55206
2.34509531,508952531725.77655
2.46509507,508952779320.1456
2.05509589,508985224014.3701
2.1800956400000002,509008059349.02405
2.0300959400000003,509012809055.02637
2.29509541,508999461942.7065
0.6900986199999999,509488843923.1137
0.9550980899999999,509400128360.20044
0.06009988,517332962830.34045
2.34509531,509084360598.7226
2.46509507,508954369701.1858
2.05509589,508985242826.5437
2.52009496,508976568221.6139
2.29009542,508956843712.2363
2.30509539,508971823769.4852
2.29009542,508972370541.17505
2.30509539,508972216476.63916
2.34009532,508967626536.20807
2.34009532,508964627917.86
2.3000954,508968343497.7611
