x,y
0.0,0.38611189730258744
67.14989518305869,0.32738550378032727
199.9801,0.3639174053480545
109.6341,0.3485639929802993
59.3468,0.3200626746781339
36.6409,0.2820759123193781
23.8253,0.2295094483429807
129.5341,0.35074296253053205
14.333,0.13335685105578676
135.6633,0.34380124308520976
8.96,-0.005608370346674718
9.1789,-0.018123321003095327
12.2435,0.0607245177435658
8.8804,-0.026625207731179046
9.0595,-0.028453786472173448
9.1988,-0.025027017463564505
8.940100000000001,-0.034172326363190564
8.96,-0.034738290743952405
9.1789,-0.027094419216879828
9.1192,-0.028154424285041557
