# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.005229,  0.004110,  0.000085,  0.000000, -0.003109,  0.000000
  0.026103,  0.020531,  0.000424,  0.000000, -0.015509,  0.000000
  0.067682,  0.053296,  0.001100,  0.000000, -0.040169,  0.000000
  0.129674,  0.102270,  0.002106,  0.000000, -0.076847,  0.000000
  0.211746,  0.167300,  0.003434,  0.000000, -0.125266,  0.000000
  0.313572,  0.248235,  0.005077,  0.000000, -0.185161,  0.000000
  0.434831,  0.344924,  0.007026,  0.000000, -0.256267,  0.000000
  0.575206,  0.457219,  0.009270,  0.000000, -0.338330,  0.000000
  0.734386,  0.584972,  0.011800,  0.000000, -0.431098,  0.000000
  0.912065,  0.728037,  0.014602,  0.000000, -0.534328,  0.000000
  1.107943,  0.886270,  0.017666,  0.000000, -0.647780,  0.000000
  1.321723,  1.059527,  0.020979,  0.000000, -0.771220,  0.000000
  1.553114,  1.247667,  0.024527,  0.000000, -0.904421,  0.000000
  1.801830,  1.450549,  0.028296,  0.000000, -1.047160,  0.000000
  2.067588,  1.668033,  0.032273,  0.000000, -1.199218,  0.000000
  2.350112,  1.899982,  0.036443,  0.000000, -1.360382,  0.000000
  2.649128,  2.146260,  0.040790,  0.000000, -1.530445,  0.000000
  2.964368,  2.406730,  0.045299,  0.000000, -1.709204,  0.000000
  3.295569,  2.681259,  0.049954,  0.000000, -1.896458,  0.000000
  3.642471,  2.969715,  0.054740,  0.000000, -2.092016,  0.000000
  4.004817,  3.271964,  0.059641,  0.000000, -2.295686,  0.000000
  4.382358,  3.587879,  0.064639,  0.000000, -2.507284,  0.000000
  4.774845,  3.917328,  0.069719,  0.000000, -2.726628,  0.000001
  5.182036,  4.260185,  0.074865,  0.000000, -2.953541,  0.000001
  5.603692,  4.616322,  0.080059,  0.000000, -3.187851,  0.000003
  6.039576,  4.985615,  0.085286,  0.000000, -3.429388,  0.000005
  6.489458,  5.367940,  0.090530,  0.000000, -3.677987,  0.000008
  6.953110,  5.763172,  0.095775,  0.000000, -3.933487,  0.000012
