# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000003,  0.000000,  0.000000,  0.000000,  0.000000,  0.000005
  0.000018,  0.000000,  0.000000,  0.000000,  0.000000,  0.000029
  0.000060,  0.000000,  0.000000,  0.000000,  0.000000,  0.000095
  0.000150,  0.000000,  0.000000,  0.000000,  0.000000,  0.000236
  0.000313,  0.000000,  0.000000,  0.000000,  0.000000,  0.000493
  0.000582,  0.000000,  0.000000,  0.000000,  0.000000,  0.000914
  0.000993,  0.000000, -0.000000,  0.000000,  0.000000,  0.001555
  0.001588,  0.000000, -0.000000,  0.000000,  0.000000,  0.002478
  0.002413,  0.000000, -0.000000,  0.000000,  0.000000,  0.003753
  0.003518,  0.000000, -0.000000,  0.000000,  0.000000,  0.005452
  0.004959,  0.000000, -0.000000,  0.000000,  0.000000,  0.007654
  0.006793,  0.000000, -0.000000,  0.000000,  0.000000,  0.010442
  0.009082,  0.000000, -0.000000,  0.000000,  0.000000,  0.013901
  0.011890,  0.000000, -0.000000,  0.000000,  0.000000,  0.018119
  0.015285,  0.000000, -0.000000,  0.000000,  0.000000,  0.023185
  0.019336,  0.000000, -0.000001,  0.000000,  0.000001,  0.029190
  0.024114,  0.000001, -0.000001,  0.000000,  0.000001,  0.036224
  0.029693,  0.000001, -0.000001,  0.000000,  0.000001,  0.044376
  0.036145,  0.000001, -0.000002,  0.000000,  0.000002,  0.053735
  0.043546,  0.000002, -0.000003,  0.000000,  0.000003,  0.064387
  0.051971,  0.000003, -0.000004,  0.000000,  0.000004,  0.076417
  0.061493,  0.000004, -0.000005,  0.000000,  0.000005,  0.089904
  0.072188,  0.000005, -0.000006,  0.000000,  0.000007,  0.104924
  0.084130,  0.000007, -0.000009,  0.000000,  0.000009,  0.121551
  0.097389,  0.000009, -0.000011,  0.000000,  0.000012,  0.139851
  0.112038,  0.000011, -0.000014,  0.000000,  0.000015,  0.159885
  0.128146,  0.000014, -0.000019,  0.000000,  0.000020,  0.181711
  0.145778,  0.000018, -0.000024,  0.000000,  0.000025,  0.205379
  0.165000,  0.000023, -0.000030,  0.000000,  0.000032,  0.230932
  0.185873,  0.000029, -0.000038,  0.000000,  0.000039,  0.258407
  0.208455,  0.000036, -0.000047,  0.000000,  0.000049,  0.287836
  0.232802,  0.000045, -0.000058,  0.000000,  0.000060,  0.319242
  0.258965,  0.000055, -0.000071,  0.000000,  0.000073,  0.352643
  0.286992,  0.000067, -0.000086,  0.000000,  0.000089,  0.388048
  0.316927,  0.000081, -0.000105,  0.000000,  0.000108,  0.425462
  0.348808,  0.000098, -0.000126,  0.000000,  0.000129,  0.464882
  0.382673,  0.000117, -0.000151,  0.000000,  0.000154,  0.506298
  0.418552,  0.000140, -0.000181,  0.000000,  0.000183,  0.549694
  0.456471,  0.000166, -0.000215,  0.000000,  0.000217,  0.595050
  0.496452,  0.000197, -0.000254,  0.000000,  0.000255,  0.642338
  0.538512,  0.000232, -0.000299, -0.000000,  0.000299,  0.691525
  0.582665,  0.000272, -0.000351, -0.000000,  0.000349,  0.742574
  0.628917,  0.000317, -0.000411, -0.000000,  0.000405,  0.795444
  0.677273,  0.000369, -0.000478, -0.000000,  0.000470,  0.850088
  0.727731,  0.000428, -0.000555, -0.000000,  0.000542,  0.906457
  0.780285,  0.000495, -0.000642, -0.000000,  0.000623,  0.964499
  0.834925,  0.000571, -0.000740, -0.000000,  0.000714,  1.024158
  0.891637,  0.000655, -0.000850, -0.000000,  0.000816,  1.085377
  0.950400,  0.000751, -0.000974, -0.000000,  0.000929,  1.148097
  1.011193,  0.000857, -0.001113, -0.000000,  0.001055,  1.212257
  1.073989,  0.000976, -0.001268, -0.000000,  0.001195,  1.277798
  1.138757,  0.001109, -0.001441, -0.000000,  0.001350,  1.344659
  1.205463,  0.001256, -0.001634, -0.000000,  0.001521,  1.412779
  1.274070,  0.001419, -0.001847, -0.000000,  0.001709,  1.482098
  1.344537,  0.001599, -0.002084, -0.000000,  0.001915,  1.552560
  1.416822,  0.001799, -0.002345, -0.000000,  0.002142,  1.624107
  1.490879,  0.002019, -0.002634, -0.000000,  0.002390,  1.696686
  1.566659,  0.002260, -0.002951, -0.000000,  0.002660,  1.770245
  1.644112,  0.002526, -0.003300, -0.000000,  0.002956,  1.844736
  1.723187,  0.002816, -0.003683, -0.000000,  0.003277,  1.920113
  1.803831,  0.003134, -0.004102, -0.000000,  0.003626,  1.996334
  1.885989,  0.003482, -0.004560, -0.000000,  0.004004,  2.073362
  1.969606,  0.003861, -0.005061, -0.000000,  0.004414,  2.151163
  2.054626,  0.004273, -0.005606, -0.000000,  0.004856,  2.229707
  2.140993,  0.004721, -0.006200, -0.000000,  0.005334,  2.308969
  2.228650,  0.005207, -0.006845, -0.000000,  0.005849,  2.388928
  2.317541,  0.005735, -0.007545, -0.000000,  0.006404,  2.469568
  2.407613,  0.006305, -0.008303, -0.000000,  0.006999,  2.550878
  2.498808,  0.006922, -0.009124, -0.000000,  0.007639,  2.632849
  2.591076,  0.007588, -0.010011, -0.000000,  0.008324,  2.715480
  2.684362,  0.008305, -0.010969, -0.000000,  0.009057,  2.798772
  2.778617,  0.009077, -0.012002, -0.000000,  0.009842,  2.882731
  2.873792,  0.009908, -0.013113, -0.000000,  0.010679,  2.967369
  2.969841,  0.010800, -0.014309, -0.000000,  0.011573,  3.052698
  3.066718,  0.011757, -0.015594, -0.000000,  0.012524,  3.138737
  3.164383,  0.012782, -0.016973, -0.000000,  0.013537,  3.225508
  3.262795,  0.013880, -0.018450, -0.000000,  0.014614,  3.313036
  3.361919,  0.015054, -0.020033, -0.000000,  0.015758,  3.401348
  3.461720,  0.016307, -0.021726, -0.000000,  0.016972,  3.490476
  3.562169,  0.017645, -0.023535, -0.000000,  0.018258,  3.580452
  3.663238,  0.019070, -0.025467, -0.000000,  0.019621,  3.671311
  3.764903,  0.020588, -0.027527, -0.000000,  0.021063,  3.763092
  3.867143,  0.022204, -0.029722, -0.000000,  0.022587,  3.855831
  3.969942,  0.023921, -0.032059, -0.000000,  0.024196,  3.949569
  4.073285,  0.025744, -0.034546, -0.000000,  0.025895,  4.044346
  4.177163,  0.027678, -0.037188, -0.000000,  0.027687,  4.140203
  4.281568,  0.029729, -0.039993, -0.000000,  0.029574,  4.237179
  4.386497,  0.031902, -0.042970, -0.000000,  0.031562,  4.335317
  4.491951,  0.034201, -0.046126, -0.000000,  0.033653,  4.434654
  4.597934,  0.036632, -0.049469, -0.000000,  0.035851,  4.535232
  4.704451,  0.039201, -0.053007, -0.000000,  0.038160,  4.637086
  4.811514,  0.041913, -0.056750, -0.000000,  0.040585,  4.740254
  4.919136,  0.044775, -0.060705, -0.000000,  0.043129,  4.844770
  5.027334,  0.047793, -0.064883, -0.000000,  0.045797,  4.950667
  5.136126,  0.050971, -0.069291, -0.000000,  0.048592,  5.057975
  5.245536,  0.054318, -0.073941, -0.000000,  0.051519,  5.166722
  5.355587,  0.057839, -0.078841, -0.000000,  0.054583,  5.276933
  5.466308,  0.061540, -0.084002, -0.000000,  0.057788,  5.388632
  5.577729,  0.065430, -0.089434, -0.000000,  0.061138,  5.501838
  5.689880,  0.069513, -0.095147, -0.000000,  0.064639,  5.616567
  5.802797,  0.073798, -0.101154, -0.000000,  0.068295,  5.732835
  5.916514,  0.078292, -0.107463, -0.000000,  0.072111,  5.850652
  6.031068,  0.083002, -0.114088, -0.000000,  0.076092,  5.970025
  6.146499,  0.087934, -0.121040, -0.000000,  0.080243,  6.090960
  6.262846,  0.093098, -0.128330, -0.000000,  0.084570,  6.213458
  6.380148,  0.098501, -0.135970, -0.000000,  0.089077,  6.337517
  6.498449,  0.104150, -0.143974, -0.000000,  0.093771,  6.463135
  6.617789,  0.110054, -0.152353, -0.000000,  0.098656,  6.590303
  6.738210,  0.116221, -0.161121, -0.000000,  0.103738,  6.719011
  6.859754,  0.122659, -0.170292, -0.000000,  0.109024,  6.849249
  6.982463,  0.129377, -0.179877, -0.000000,  0.114518,  6.981000
  7.106379,  0.136384, -0.189892, -0.000000,  0.120228,  7.114249
  7.231542,  0.143687, -0.200350, -0.000000,  0.126158,  7.248975
  7.357993,  0.151296, -0.211266, -0.000000,  0.132316,  7.385159
  7.485770,  0.159221, -0.222654, -0.000000,  0.138708,  7.522778
  7.614912,  0.167471, -0.234529, -0.000000,  0.145339,  7.661808
  7.745455,  0.176054, -0.246907, -0.000000,  0.152217,  7.802223
  7.877434,  0.184981, -0.259802, -0.000000,  0.159348,  7.943998
  8.010882,  0.194261, -0.273231, -0.000000,  0.166739,  8.087106
  8.145832,  0.203904, -0.287209, -0.000000,  0.174398,  8.231519
  8.282312,  0.213920, -0.301753, -0.000000,  0.182330,  8.377210
  8.420350,  0.224320, -0.316880, -0.000000,  0.190544,  8.524151
  8.559972,  0.235113, -0.332606, -0.000000,  0.199046,  8.672315
  8.701200,  0.246311, -0.348948, -0.000000,  0.207845,  8.821674
  8.844055,  0.257923, -0.365924, -0.000000,  0.216946,  8.972202
  8.988556,  0.269962, -0.383552, -0.000000,  0.226360,  9.123872
  9.134717,  0.282437, -0.401850, -0.000000,  0.236092,  9.276660
  9.282551,  0.295360, -0.420835, -0.000000,  0.246151,  9.430543
  9.432070,  0.308743, -0.440528, -0.000000,  0.256546,  9.585497
  9.583280,  0.322596, -0.460946, -0.000000,  0.267284,  9.741502
  9.736187,  0.336932, -0.482108, -0.000000,  0.278373,  9.898538
  9.890794,  0.351763, -0.504036, -0.000000,  0.289823, 10.056587
 10.047099,  0.367100, -0.526747, -0.000000,  0.301641, 10.215634
 10.205101,  0.382956, -0.550263, -0.000000,  0.313837, 10.375665
 10.364794,  0.399342, -0.574604, -0.000000,  0.326420, 10.536666
 10.526169,  0.416273, -0.599790, -0.000000,  0.339398, 10.698629
 10.689218,  0.433760, -0.625843, -0.000000,  0.352780, 10.861545
 10.853927,  0.451817, -0.652783, -0.000000,  0.366577, 11.025408
 11.020281,  0.470456, -0.680634, -0.000000,  0.380797, 11.190214
 11.188264,  0.489690, -0.709416, -0.000000,  0.395449, 11.355961
 11.357855,  0.509535, -0.739152, -0.000000,  0.410545, 11.522648
 11.529035,  0.530002, -0.769865, -0.000000,  0.426092, 11.690279
 11.701781,  0.551106, -0.801578, -0.000000,  0.442102, 11.858855
 11.876067,  0.572862, -0.834313, -0.000000,  0.458585, 12.028383
 12.051868,  0.595282, -0.868095, -0.000000,  0.475550, 12.198870
 12.229157,  0.618383, -0.902947, -0.000000,  0.493008, 12.370325
