# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
  0.014420,  0.000000,  0.000000,  0.000000,  0.000000,  0.000351
  0.057626,  0.000000,  0.000000,  0.000000,  0.000000,  0.001402
  0.143935,  0.000000,  0.000000,  0.000000,  0.000000,  0.003501
  0.287435,  0.000000,  0.000000,  0.000000,  0.000000,  0.006990
  0.502040,  0.000000,  0.000000,  0.000000,  0.000000,  0.012201
  0.801308,  0.000000,  0.000000,  0.000000,  0.000000,  0.019458
  1.198455,  0.000000, -0.000002,  0.000000,  0.000000,  0.029069
  1.706253,  0.000012, -0.000004,  0.000000,  0.000001,  0.041329
  2.337007,  0.000024, -0.000006,  0.000000,  0.000001,  0.056515
  3.102442,  0.000036, -0.000013,  0.000000,  0.000001,  0.074884
  4.013719,  0.000071, -0.000021,  0.000000,  0.000002,  0.096673
  5.081317,  0.000118, -0.000034,  0.000000,  0.000004,  0.122097
  6.315060,  0.000177, -0.000055,  0.000000,  0.000007,  0.151348
  7.724001,  0.000270, -0.000083,  0.000000,  0.000010,  0.184591
  9.316476,  0.000399, -0.000121,  0.000000,  0.000015,  0.221968
 11.099956,  0.000574, -0.000176,  0.000000,  0.000021,  0.263593
 13.081136,  0.000806, -0.000247,  0.000000,  0.000029,  0.309558
 15.265831,  0.001107, -0.000340,  0.000000,  0.000040,  0.359923
 17.659001,  0.001499, -0.000463,  0.000000,  0.000054,  0.414727
 20.264709,  0.002005, -0.000620,  0.000000,  0.000072,  0.473978
 23.086149,  0.002647, -0.000818,  0.000000,  0.000095,  0.537664
 26.125569,  0.003459, -0.001065,  0.000000,  0.000125,  0.605742
 29.384380,  0.004449, -0.001374,  0.000000,  0.000160,  0.678151
 32.863065,  0.005674, -0.001750,  0.000000,  0.000203,  0.754803
 36.561220,  0.007153, -0.002212,  0.000000,  0.000255,  0.835591
 40.477574,  0.008940, -0.002767,  0.000000,  0.000318,  0.920386
 44.610025,  0.011089, -0.003434,  0.000000,  0.000393,  1.009040
 48.955615,  0.013653, -0.004230,  0.000000,  0.000482,  1.101390
 53.510583,  0.016669, -0.005172,  0.000000,  0.000587,  1.197256
 58.270402,  0.020222, -0.006278,  0.000000,  0.000710,  1.296443
 63.229803,  0.024372, -0.007576,  0.000000,  0.000853,  1.398747
 68.382796,  0.029198, -0.009086,  0.000000,  0.001018,  1.503953
 73.722738,  0.034793, -0.010836,  0.000000,  0.001209,  1.611837
 79.242346,  0.041230, -0.012857,  0.000000,  0.001427,  1.722169
 84.933771,  0.048620, -0.015176,  0.000000,  0.001677,  1.834718
 90.788629,  0.057054, -0.017832,  0.000000,  0.001960,  1.949249
 96.798028,  0.066647, -0.020856,  0.000000,  0.002281,  2.065525
102.952681,  0.077531, -0.024291,  0.000000,  0.002643,  2.183313
109.242895,  0.089824, -0.028179,  0.000000,  0.003049,  2.302385
115.658663,  0.103661, -0.032562,  0.000000,  0.003505,  2.422517
122.189694,  0.119196, -0.037488, -0.000002,  0.004012,  2.543490
128.825482,  0.136566, -0.043012, -0.000002,  0.004578,  2.665097
135.555386,  0.155949, -0.049185, -0.000002,  0.005205,  2.787141
142.368635,  0.177514, -0.056064, -0.000002,  0.005898,  2.909434
149.254421,  0.201424, -0.063710, -0.000002,  0.006663,  3.031803
156.201922,  0.227908, -0.072190, -0.000002,  0.007504,  3.154089
163.200411,  0.257121, -0.081569, -0.000002,  0.008428,  3.276146
170.239254,  0.289308, -0.091921, -0.000002,  0.009438,  3.397847
177.307981,  0.324666, -0.103318, -0.000002,  0.010542,  3.519078
184.396369,  0.363443, -0.115842, -0.000002,  0.011746,  3.639744
191.494423,  0.405872, -0.129573, -0.000002,  0.013054,  3.759767
198.592486,  0.452187, -0.144600, -0.000002,  0.014474,  3.879086
205.681262,  0.502669, -0.161014, -0.000001,  0.016013,  3.997660
212.751842,  0.557583, -0.178908, -0.000001,  0.017675,  4.115461
219.795772,  0.617204, -0.198383, -0.000001,  0.019469,  4.232483
226.805063,  0.681838, -0.219541, -0.000001,  0.021402,  4.348736
233.772241,  0.751762, -0.242491, -0.000001,  0.023481,  4.464244
240.690396,  0.827305, -0.267342, -0.000001,  0.025712,  4.579051
247.553157,  0.908780, -0.294214, -0.000003,  0.028104,  4.693214
254.354771,  0.996513, -0.323222, -0.000003,  0.030664,  4.806806
261.090094,  1.090870, -0.354496, -0.000002,  0.033400,  4.919910
267.754626,  1.192180, -0.388164, -0.000002,  0.036321,  5.032628
274.344509,  1.300812, -0.424358, -0.000002,  0.039433,  5.145067
280.856557,  1.417142, -0.463217, -0.000002,  0.042745,  5.257350
287.288242,  1.541547, -0.504886, -0.000002,  0.046267,  5.369604
293.637709,  1.674412, -0.549510, -0.000001,  0.050005,  5.481969
299.903776,  1.816150, -0.597241, -0.000001,  0.053970,  5.594588
306.085958,  1.967173, -0.648237, -0.000001,  0.058170,  5.707611
312.184387,  2.127883, -0.702658, -0.000001,  0.062614,  5.821192
318.199898,  2.298733, -0.760670, -0.000000,  0.067312,  5.935487
324.133946,  2.480130, -0.822446, -0.000002,  0.072271,  6.050653
329.988602,  2.672556, -0.888157, -0.000002,  0.077503,  6.166850
335.766568,  2.876442, -0.957984, -0.000002,  0.083016,  6.284232
341.471124,  3.092252, -1.032112, -0.000002,  0.088821,  6.402955
347.106112,  3.320472, -1.110731, -0.000001,  0.094928,  6.523170
352.675923,  3.561571, -1.194031, -0.000001,  0.101345,  6.645021
358.185418,  3.816045, -1.282212, -0.000001,  0.108085,  6.768648
363.639986,  4.084385, -1.375478, -0.000001,  0.115157,  6.894186
369.045406,  4.367106, -1.474032, -0.000003,  0.122572,  7.021759
374.407918,  4.664700, -1.578090, -0.000002,  0.130340,  7.151484
379.734070,  4.977706, -1.687868, -0.000002,  0.138473,  7.283469
385.030803,  5.306639, -1.803584, -0.000002,  0.146981,  7.417810
390.305318,  5.652042, -1.925463, -0.000001,  0.155878,  7.554594
395.565081,  6.014444, -2.053738, -0.000001,  0.165171,  7.693898
400.817746,  6.394388, -2.188640, -0.000001,  0.174876,  7.835786
406.071174,  6.792445, -2.330411, -0.000003,  0.185003,  7.980310
411.333332,  7.209165, -2.479289, -0.000002,  0.195565,  8.127511
416.612274,  7.645121, -2.635525, -0.000002,  0.206573,  8.277418
421.916099,  8.100870, -2.799368, -0.000002,  0.218040,  8.430049
427.252910,  8.577005, -2.971075, -0.000001,  0.229979,  8.585408
432.630785,  9.074111, -3.150907, -0.000001,  0.242404,  8.743489
438.057700,  9.592768, -3.339127, -0.000003,  0.255327,  8.904276
443.541514, 10.133582, -3.536007, -0.000002,  0.268762,  9.067740
449.089956, 10.697139, -3.741815, -0.000002,  0.282722,  9.233841
454.710549, 11.284070, -3.956829, -0.000002,  0.297223,  9.402532
460.410554, 11.894971, -4.181332, -0.000001,  0.312277,  9.573756
466.197016, 12.530468, -4.415607, -0.000003,  0.327899,  9.747446
472.076663, 13.191173, -4.659946, -0.000003,  0.344105,  9.923527
478.055901, 13.877737, -4.914641, -0.000002,  0.360908, 10.101920
484.140768, 14.590778, -5.179991, -0.000002,  0.378325, 10.282537
490.336927, 15.330941, -5.456293, -0.000002,  0.396372, 10.465284
496.649660, 16.098883, -5.743858, -0.000003,  0.415063, 10.650065
503.083803, 16.895234, -6.042992, -0.000003,  0.434415, 10.836780
509.643736, 17.720658, -6.354009, -0.000002,  0.454445, 11.025323
516.333394, 18.575823, -6.677228, -0.000002,  0.475169, 11.215591
523.156237, 19.461405, -7.012967, -0.000004,  0.496605, 11.407476
530.115241, 20.378057, -7.361556, -0.000003,  0.518769, 11.600872
537.212852, 21.326469, -7.723322, -0.000003,  0.541678, 11.795673
544.451066, 22.307333, -8.098596, -0.000002,  0.565353, 11.991774
551.831327, 23.321325, -8.487720, -0.000004,  0.589809, 12.189075
559.354611, 24.369152, -8.891031, -0.000004,  0.615066, 12.387476
567.021345, 25.451517, -9.308876, -0.000003,  0.641142, 12.586882
574.831492, 26.569137, -9.741602, -0.000002,  0.668057, 12.787203
582.784500, 27.722712,-10.189565, -0.000004,  0.695830, 12.988355
590.879325, 28.912973,-10.653120, -0.000004,  0.724480, 13.190257
599.114485, 30.140642,-11.132628, -0.000003,  0.754028, 13.392836
607.487982, 31.406471,-11.628454, -0.000002,  0.784494, 13.596027
615.997415, 32.711198,-12.140967, -0.000004,  0.815898, 13.799768
624.639943, 34.055576,-12.670538, -0.000003,  0.848261, 14.004010
633.412301, 35.440350,-13.217544, -0.000003,  0.881604, 14.208706
642.310854, 36.866303,-13.782370, -0.000004,  0.915949, 14.413821
651.331605, 38.334194,-14.365395, -0.000004,  0.951316, 14.619325
660.470202, 39.844814,-14.967011, -0.000003,  0.987730, 14.825197
669.721986, 41.398950,-15.587612, -0.000005,  1.025210, 15.031426
679.082016, 42.997408,-16.227593, -0.000004,  1.063781, 15.238005
688.545101, 44.640985,-16.887354, -0.000003,  1.103465, 15.444937
698.105804, 46.330505,-17.567305, -0.000005,  1.144284, 15.652233
707.758494, 48.066790,-18.267852, -0.000004,  1.186263, 15.859909
717.497371, 49.850674,-18.989411, -0.000003,  1.229425, 16.067991
727.316515, 51.683007,-19.732399, -0.000005,  1.273793, 16.276509
737.209886, 53.564627,-20.497241, -0.000004,  1.319393, 16.485499
747.171365, 55.496417,-21.284360, -0.000003,  1.366248, 16.695005
757.194799, 57.479230,-22.094192, -0.000005,  1.414384, 16.905075
767.274021, 59.513979,-22.927168, -0.000004,  1.463825, 17.115760
777.402879, 61.601522,-23.783734, -0.000003,  1.514596, 17.327118
787.575294, 63.742790,-24.664330, -0.000005,  1.566723, 17.539209
797.785240, 65.938690,-25.569410, -0.000004,  1.620232, 17.752097
808.026797, 68.190147,-26.499424, -0.000005,  1.675149, 17.965846
818.294203, 70.498111,-27.454835, -0.000004,  1.731501, 18.180525
828.581861, 72.863505,-28.436102, -0.000003,  1.789313, 18.396202
838.884323, 75.287320,-29.443699, -0.000005,  1.848612, 18.612946
849.196404, 77.770495,-30.478096, -0.000004,  1.909427, 18.830828
859.513131, 80.314043,-31.539770, -0.000005,  1.971783, 19.049914
869.829789, 82.918944,-32.629206, -0.000004,  2.035710, 19.270274
880.141942, 85.586199,-33.746892, -0.000006,  2.101234, 19.491973
890.445438, 88.316842,-34.893322, -0.000005,  2.168385, 19.715074
900.736477, 91.111892,-36.068991, -0.000006,  2.237189, 19.939640
911.011527, 93.972393,-37.274405, -0.000005,  2.307677, 20.165727
921.267459, 96.899403,-38.510072, -0.000004,  2.379878, 20.393391
